名称,地址,经度,纬度,类别,日营业额
王府井商圈门店1,北京市东城区测试路47号,116.41018,39.914024,药店,7367
CBD商圈门店2,北京市东城区测试路114号,116.454885,39.934269,药店,23184
西单商圈门店3,北京市海淀区测试路7号,116.380055,39.899249,便利店,47155
王府井商圈门店4,北京市东城区测试路131号,116.410161,39.914185,餐厅,18251
CBD商圈门店5,北京市海淀区测试路38号,116.455286,39.933848,餐厅,10550
西单商圈门店6,北京市西城区测试路197号,116.38036,39.89938,餐厅,7507
王府井商圈门店7,北京市朝阳区测试路70号,116.409837,39.914,药店,25750
CBD商圈门店8,北京市朝阳区测试路13号,116.455192,39.933847,服装店,36367
西单商圈门店9,北京市西城区测试路157号,116.380334,39.898865,餐厅,17595
王府井商圈门店10,北京市西城区测试路161号,116.409839,39.914146,药店,35547
CBD商圈门店11,北京市朝阳区测试路117号,116.454893,39.933886,药店,40773
西单商圈门店12,北京市海淀区测试路147号,116.37981,39.898883,服装店,12270
王府井商圈门店13,北京市海淀区测试路111号,116.410168,39.914065,药店,10355
CBD商圈门店14,北京市海淀区测试路160号,116.454963,39.934165,药店,45476
西单商圈门店15,北京市西城区测试路193号,116.380159,39.898988,便利店,49178
王府井商圈门店16,北京市东城区测试路52号,116.409917,39.914081,便利店,11574
CBD商圈门店17,北京市东城区测试路102号,116.455093,39.933738,便利店,21139
西单商圈门店18,北京市西城区测试路26号,116.379886,39.899236,服装店,36245
王府井商圈门店19,北京市东城区测试路89号,116.410103,39.913936,便利店,42829
CBD商圈门店20,北京市东城区测试路180号,116.455201,39.934178,服装店,44081
西单商圈门店21,北京市东城区测试路16号,116.379827,39.899394,药店,48228
王府井商圈门店22,北京市东城区测试路134号,116.409952,39.913932,餐厅,7804
CBD商圈门店23,北京市朝阳区测试路95号,116.454788,39.934237,药店,48396
西单商圈门店24,北京市海淀区测试路150号,116.38026,39.898612,便利店,25380
王府井商圈门店25,北京市西城区测试路139号,116.410022,39.913866,服装店,36424
CBD商圈门店26,北京市朝阳区测试路105号,116.455294,39.934155,餐厅,37844
西单商圈门店27,北京市东城区测试路162号,116.379961,39.898772,餐厅,18104
王府井商圈门店28,北京市东城区测试路168号,116.410088,39.914116,药店,15316
CBD商圈门店29,北京市朝阳区测试路6号,116.455195,39.933881,便利店,11164
西单商圈门店30,北京市海淀区测试路8号,116.380189,39.899128,药店,25810
王府井商圈门店31,北京市海淀区测试路98号,116.41005,39.914064,服装店,26973
CBD商圈门店32,北京市朝阳区测试路12号,116.454981,39.933932,便利店,14926
西单商圈门店33,北京市海淀区测试路136号,116.379864,39.899051,便利店,38916
王府井商圈门店34,北京市海淀区测试路38号,116.409938,39.91412,便利店,38748
CBD商圈门店35,北京市东城区测试路97号,116.455011,39.933804,便利店,11052
西单商圈门店36,北京市海淀区测试路38号,116.380047,39.898701,服装店,18392
王府井商圈门店37,北京市西城区测试路8号,116.40986,39.914151,餐厅,28333
CBD商圈门店38,北京市海淀区测试路156号,116.454967,39.933976,便利店,36086
西单商圈门店39,北京市西城区测试路8号,116.379683,39.899058,药店,17993
王府井商圈门店40,北京市东城区测试路14号,116.409864,39.913917,药店,34370
CBD商圈门店41,北京市朝阳区测试路33号,116.454709,39.933709,药店,17952
西单商圈门店42,北京市海淀区测试路44号,116.379757,39.899255,药店,13006
王府井商圈门店43,北京市西城区测试路136号,116.409937,39.91416,药店,33100
CBD商圈门店44,北京市海淀区测试路180号,116.455253,39.933745,餐厅,39420
西单商圈门店45,北京市东城区测试路151号,116.379841,39.89888,服装店,5075
王府井商圈门店46,北京市朝阳区测试路28号,116.409932,39.914068,服装店,24602
CBD商圈门店47,北京市东城区测试路130号,116.454884,39.933997,便利店,9352
西单商圈门店48,北京市朝阳区测试路39号,116.380066,39.899357,便利店,7425
王府井商圈门店49,北京市朝阳区测试路150号,116.409823,39.914124,药店,41022
CBD商圈门店50,北京市朝阳区测试路196号,116.455277,39.933903,便利店,32124
西单商圈门店51,北京市海淀区测试路47号,116.379833,39.898887,服装店,37093
王府井商圈门店52,北京市西城区测试路96号,116.409823,39.914154,便利店,43560
CBD商圈门店53,北京市东城区测试路117号,116.45498,39.93411,便利店,31044
西单商圈门店54,北京市海淀区测试路7号,116.37968,39.899325,餐厅,26758
王府井商圈门店55,北京市东城区测试路168号,116.410099,39.913801,便利店,43854
CBD商圈门店56,北京市海淀区测试路13号,116.455024,39.934126,餐厅,39784
西单商圈门店57,北京市海淀区测试路113号,116.380248,39.898677,服装店,45036
王府井商圈门店58,北京市西城区测试路67号,116.409807,39.913972,药店,16447
CBD商圈门店59,北京市东城区测试路103号,116.454705,39.933932,便利店,39872
西单商圈门店60,北京市西城区测试路4号,116.380062,39.898923,服装店,19160
王府井商圈门店61,北京市海淀区测试路114号,116.409899,39.914073,餐厅,28365
CBD商圈门店62,北京市朝阳区测试路46号,116.454796,39.93408,便利店,28314
西单商圈门店63,北京市朝阳区测试路53号,116.379615,39.898623,便利店,39156
王府井商圈门店64,北京市朝阳区测试路135号,116.409987,39.914077,药店,24717
CBD商圈门店65,北京市海淀区测试路109号,116.454859,39.934083,便利店,13449
西单商圈门店66,北京市东城区测试路5号,116.38019,39.898752,服装店,7587
王府井商圈门店67,北京市海淀区测试路179号,116.410119,39.913985,药店,28139
CBD商圈门店68,北京市海淀区测试路22号,116.454885,39.933845,药店,11733
西单商圈门店69,北京市东城区测试路34号,116.379686,39.898832,餐厅,10737
王府井商圈门店70,北京市海淀区测试路7号,116.410153,39.914149,服装店,16081
CBD商圈门店71,北京市东城区测试路120号,116.455204,39.933863,便利店,22185
西单商圈门店72,北京市西城区测试路36号,116.380104,39.899065,服装店,6988
王府井商圈门店73,北京市西城区测试路35号,116.410049,39.914194,服装店,6037
CBD商圈门店74,北京市东城区测试路26号,116.454993,39.934103,便利店,15603
西单商圈门店75,北京市朝阳区测试路115号,116.379928,39.898748,便利店,20539
王府井商圈门店76,北京市西城区测试路14号,116.409922,39.914098,服装店,38204
CBD商圈门店77,北京市东城区测试路85号,116.454962,39.934008,餐厅,32446
西单商圈门店78,北京市东城区测试路64号,116.379774,39.899372,餐厅,45603
王府井商圈门店79,北京市朝阳区测试路158号,116.409827,39.91386,餐厅,15487
CBD商圈门店80,北京市东城区测试路12号,116.455152,39.934056,服装店,49930
西单商圈门店81,北京市西城区测试路11号,116.379858,39.89871,服装店,49038
王府井商圈门店82,北京市朝阳区测试路125号,116.410087,39.913923,餐厅,28569
CBD商圈门店83,北京市朝阳区测试路72号,116.45506,39.933794,餐厅,13896
西单商圈门店84,北京市海淀区测试路136号,116.379642,39.898681,服装店,39894
王府井商圈门店85,北京市朝阳区测试路99号,116.409933,39.913824,药店,6123
CBD商圈门店86,北京市东城区测试路129号,116.45488,39.933908,药店,47846
西单商圈门店87,北京市海淀区测试路181号,116.380186,39.898886,便利店,46696
王府井商圈门店88,北京市海淀区测试路69号,116.410159,39.913979,服装店,45098
CBD商圈门店89,北京市海淀区测试路37号,116.455092,39.934142,餐厅,14206
西单商圈门店90,北京市东城区测试路191号,116.379986,39.89865,便利店,24008
王府井商圈门店91,北京市东城区测试路77号,116.410183,39.914149,便利店,34907
CBD商圈门店92,北京市西城区测试路121号,116.45503,39.934011,药店,23219
西单商圈门店93,北京市海淀区测试路30号,116.379731,39.899219,餐厅,5858
王府井商圈门店94,北京市朝阳区测试路93号,116.409961,39.914197,餐厅,49190
CBD商圈门店95,北京市海淀区测试路110号,116.454854,39.933912,药店,9863
西单商圈门店96,北京市朝阳区测试路57号,116.379936,39.898732,服装店,33115
王府井商圈门店97,北京市西城区测试路180号,116.409998,39.913943,药店,10125
CBD商圈门店98,北京市朝阳区测试路116号,116.454846,39.93415,药店,32935
西单商圈门店99,北京市朝阳区测试路4号,116.379886,39.898688,服装店,27928
