名称,地址,经度,纬度,类别,日营业额,面积_㎡,品牌分,标签
每日优鲜(小寨店),雁塔区长安中路65号,108.9482,34.2156,convenience,18500,120,0.85,高流量;核心商圈
便利蜂(小寨西路店),雁塔区小寨西路15号,108.9468,34.2152,convenience,14200,95,0.78,写字楼;地铁口
罗森(长安中路店),雁塔区长安中路88号,108.9491,34.2148,convenience,16800,110,0.92,国际品牌;高流量
7-ELEVEN(小寨地铁站店),雁塔区小寨东路1号,108.9475,34.215,convenience,22000,85,0.95,国际品牌;地铁站内
每一天(兴善寺店),雁塔区兴善寺西街28号,108.9505,34.217,convenience,9800,65,0.55,社区店;老旧小区
唐久便利(小寨东路店),雁塔区小寨东路32号,108.9488,34.2143,convenience,12500,80,0.70,品牌连锁;商圈外围
苏宁小店(雁塔西路店),雁塔区雁塔西路78号,108.9455,34.2138,convenience,7600,55,0.60,社区店;医院周边
FamilyMart(长安大学店),雁塔区南二环中段126号,108.952,34.2175,convenience,15500,100,0.88,大学城;学生客流
每一天(南稍门店),碑林区南稍门十字东南角,108.9435,34.2125,convenience,8900,60,0.50,老旧商圈;居民区
便利蜂(体育场北路店),碑林区体育场北路12号,108.945,34.2118,convenience,11200,75,0.75,体育场;写字楼
罗森(南稍门地铁站店),碑林区南稍门地铁站B口,108.9442,34.2132,convenience,17800,90,0.90,地铁站;高流量
京东便利店(友谊东路店),碑林区友谊东路56号,108.9465,34.2105,convenience,9500,70,0.65,电商品牌;社区店
唐久便利(纬一街店),雁塔区纬一街8号,108.9495,34.2115,convenience,7800,55,0.68,居民区;学校周边
每一天(八里村店),雁塔区八里村内,108.9515,34.212,convenience,5500,40,0.45,城中村;低价位
美宜佳(长安南路店),雁塔区长安南路112号,108.95,34.2105,convenience,10200,70,0.62,品牌连锁;主干道
7-ELEVEN(纬二街店),雁塔区纬二街15号,108.951,34.21,convenience,19500,80,0.93,国际品牌;商圈
苏宁小店(明德门店),雁塔区明德路18号,108.942,34.208,convenience,6500,50,0.58,社区店;老小区
便利蜂(电视塔店),雁塔区长安南路电视塔底,108.947,34.2065,convenience,13500,85,0.80,地标;旅游客流
京东便利店(明德二路店),雁塔区明德二路34号,108.943,34.207,convenience,8200,60,0.63,电商品牌;居民区
罗森(电视塔地铁站店),雁塔区电视塔地铁站C口,108.948,34.2055,convenience,16500,95,0.91,地铁站;高流量
每一天(交大一附院店),雁塔区雁塔西路277号,108.941,34.214,convenience,10800,65,0.52,医院周边;高客流
唐久便利(含光路店),雁塔区含光路南段45号,108.9395,34.2125,convenience,7200,55,0.66,主干道;居民区
美宜佳(朱雀大街店),雁塔区朱雀大街南段88号,108.937,34.2105,convenience,8700,65,0.60,主干道;商业街
7-ELEVEN(省人民医院店),碑林区友谊西路256号,108.9365,34.2135,convenience,20500,90,0.94,医院周边;国际品牌
罗森(大雁塔店),雁塔区慈恩路66号,108.961,34.2185,convenience,17500,110,0.89,景区;旅游客流
每一天(翠华路店),雁塔区翠华路105号,108.956213,34.204379,convenience,6300,45,0.48,居民区;老旧
7-ELEVEN(大唐不夜城店),雁塔区慈恩路46号,108.9625,34.2165,convenience,23500,120,0.96,景区;国际品牌;高流量
便利蜂(曲江池店),雁塔区曲江池北路8号,108.964,34.213,convenience,11800,90,0.77,社区店;住宅区
唐久便利(北池头店),雁塔区北池头一路15号,108.958,34.209,convenience,8800,65,0.69,地铁站;城中村周边
FamilyMart(曲江六号店),雁塔区曲江大道168号,108.9655,34.211,convenience,14500,105,0.87,住宅区;高端社区
每一天(吉祥村店),雁塔区吉祥路56号,108.935,34.2155,convenience,6100,45,0.42,城中村;低价位
苏宁小店(太白南路店),雁塔区太白南路106号,108.9315,34.2145,convenience,6800,55,0.56,主干道;居民区
美宜佳(电子二路店),雁塔区电子二路28号,108.929,34.2115,convenience,7500,60,0.59,居民区;学校周边
京东便利店(西斜七路店),雁塔区西斜七路12号,108.933,34.218,convenience,8300,65,0.64,电商品牌;交通枢纽
便利蜂(电子城店),雁塔区电子正街45号,108.9285,34.2085,convenience,10600,75,0.76,写字楼;科技园
唐久便利(科技路店),雁塔区科技路30号,108.927,34.216,convenience,11500,80,0.71,科技园;写字楼
7-ELEVEN(北广场店),雁塔区大雁塔北广场底商,108.959,34.2195,convenience,21500,100,0.95,景区;高流量
每一天(西影路店),雁塔区西影路88号,108.957,34.217,convenience,7000,50,0.47,居民区;主干道
罗森(乐游路店),雁塔区乐游路12号,108.9555,34.2158,convenience,13300,85,0.86,社区店;中高端
美宜佳(后村店),雁塔区后村北路5号,108.954,34.2135,convenience,5800,42,0.44,城中村;低价位
