名称,地址,经度,纬度,类别,日营业额,面积(㎡)
好利来(曲江金地广场店),陕西省西安市雁塔区小寨东路35号,108.975406,34.206468,烘焙,4449,100
中国重庆老版火锅(大悦城店),陕西省西安市雁塔区雁塔西路13号,108.964131,34.218443,火锅,29837,466
牛排家(大雁塔北广场店),陕西省西安市雁塔区含光路33号,108.961963,34.217867,西餐,25305,230
御品轩(小寨赛格店),陕西省西安市雁塔区长安中路17号,108.940936,34.223392,烘焙,7215,84
巴黎贝甜(大雁塔北广场店),陕西省西安市雁塔区丈八东路33号,108.959845,34.216132,烘焙,8018,57
马虎面馆(钟楼粉巷店),陕西省西安市碑林区长安北路22号,108.941781,34.256055,面馆,5556,109
碎怂烤肉(未央汉神广场店),陕西省西安市未央区明光路26号,108.936973,34.339713,烧烤,19798,313
福苗小骆驼(李家村万达店),陕西省西安市碑林区粉巷21号,108.957642,34.242869,烧烤,11855,231
麦当劳(曲江金地广场店),陕西省西安市雁塔区长安中路35号,108.976839,34.206818,快餐,15398,185
塞纳河法餐厅(高新科技路店),陕西省西安市高新区唐延路26号,108.894495,34.231905,西餐,14687,396
霸王茶姬(小寨兴善寺西街店),陕西省西安市雁塔区慈恩路3号,108.940068,34.221305,茶饮,1500,70
塞纳河法餐厅(电视塔会展中心店),陕西省西安市雁塔区雁塔西路22号,108.952283,34.196642,西餐,10941,278
樊记肉夹馍(钟楼南大街店),陕西省西安市碑林区友谊路51号,108.947923,34.258036,小吃,2715,44
小骆驼烧烤(电子城电子正街店),陕西省西安市雁塔区长安中路9号,108.914267,34.209078,烧烤,16464,279
饺满天下(高新锦业路店),陕西省西安市高新区锦业路3号,108.874446,34.193190,快餐,13770,183
松鼠家兰州牛肉面(小寨长安中路店),陕西省西安市雁塔区小寨东路17号,108.943911,34.220916,面馆,4590,72
蜀椒鱼妹私房菜(大悦城店),陕西省西安市雁塔区慈恩路10号,108.962232,34.216074,中餐,30797,344
正宗裤带面(小寨赛格店),陕西省西安市雁塔区含光路13号,108.941603,34.225290,面馆,4459,125
必胜客(小寨长安中路店),陕西省西安市雁塔区电子正街17号,108.945591,34.223851,西餐,15994,153
塞纳河法餐厅(高新唐延路店),陕西省西安市高新区高新路33号,108.887034,34.224179,西餐,12608,323
鲍师傅(未央汉神广场店),陕西省西安市未央区明光路3号,108.935671,34.340889,烘焙,8222,94
米旗(新城解放路店),陕西省西安市新城区尚德路7号,108.961089,34.267919,烘焙,4432,64
御品轩(大唐不夜城店),陕西省西安市雁塔区翠华路11号,108.961896,34.210257,烘焙,6257,117
长安大排档(莲湖龙首原店),陕西省西安市莲湖区北大街13号,108.947362,34.289772,中餐,23491,375
西安饭庄(大悦城店),陕西省西安市雁塔区小寨东路33号,108.963880,34.217019,中餐,16100,150
蓝蛙(大雁塔北广场店),陕西省西安市雁塔区电子正街34号,108.960038,34.219199,西餐,17667,163
御品轩(钟楼东大街店),陕西省西安市碑林区长安北路3号,108.950101,34.261186,烘焙,9646,63
马虎面馆(曲江金地广场店),陕西省西安市雁塔区小寨东路28号,108.976497,34.204993,面馆,8000,83
鲍师傅(莲湖龙首原店),陕西省西安市莲湖区龙首北路7号,108.945681,34.288643,烘焙,6248,112
刘纪孝腊牛羊肉(钟楼南大街店),陕西省西安市碑林区友谊路6号,108.947349,34.257251,小吃,1324,37
刘纪孝腊牛羊肉(电子城电子正街店),陕西省西安市雁塔区长安中路6号,108.915100,34.206787,小吃,3162,20
勇利赵家烤肉坊(未央凤城五路店),陕西省西安市未央区凤城七路11号,108.941215,34.332627,烧烤,16960,198
蜜雪冰城(大唐不夜城店),陕西省西安市雁塔区电子正街21号,108.962947,34.213140,茶饮,5256,55
碎怂烤肉(钟楼东大街店),陕西省西安市碑林区粉巷7号,108.951820,34.261997,烧烤,21432,239
必胜客(电视塔会展中心店),陕西省西安市雁塔区长安中路20号,108.948443,34.198844,西餐,20998,147
定家小酥肉(未央汉神广场店),陕西省西安市未央区文景路34号,108.936497,34.339199,小吃,1889,23
原麦山丘(钟楼粉巷店),陕西省西安市碑林区文艺路13号,108.940690,34.257617,烘焙,4501,49
醉长安(明德门朱雀大街店),陕西省西安市雁塔区电子正街44号,108.933667,34.202844,中餐,17796,255
必胜客(高新科技路店),陕西省西安市高新区沣惠南路17号,108.895070,34.229061,西餐,6730,155
小骆驼烧烤(南稍门中贸广场店),陕西省西安市碑林区南大街14号,108.946136,34.245077,烧烤,19392,214
樊记肉夹馍(新城解放路店),陕西省西安市新城区尚德路10号,108.961903,34.267465,小吃,2064,33
巴黎贝甜(小寨长安中路店),陕西省西安市雁塔区含光路26号,108.943600,34.223705,烘焙,6272,90
茶话弄(高新科技路店),陕西省西安市高新区唐延路17号,108.897391,34.229882,茶饮,5452,48
海底捞火锅(钟楼粉巷店),陕西省西安市碑林区和平路7号,108.941115,34.258743,火锅,46658,572
福苗小骆驼(莲湖西大街百盛店),陕西省西安市莲湖区大庆路11号,108.934761,34.260336,烧烤,15422,304
碎怂烤肉(南稍门中贸广场店),陕西省西安市碑林区东大街17号,108.947284,34.242790,烧烤,14481,214
魏斯理汉堡(高新唐延路店),陕西省西安市高新区科技路3号,108.886825,34.226859,快餐,20000,148
勇利赵家烤肉坊(长安韦曲店),陕西省西安市长安区青年街3号,108.924040,34.157083,烧烤,7352,191
德克士(高新唐延路店),陕西省西安市高新区高新路6号,108.889569,34.227340,快餐,8173,246
定家小酥肉(高新科技路店),陕西省西安市高新区高新路17号,108.894796,34.229830,小吃,2167,44
良元福宴(曲江芙蓉新天地店),陕西省西安市雁塔区小寨东路66号,108.974427,34.210330,中餐,15931,285
卤校长老火锅(莲湖龙首原店),陕西省西安市莲湖区西大街13号,108.943885,34.288521,火锅,49529,585
卤校长老火锅(小寨兴善寺西街店),陕西省西安市雁塔区丈八东路26号,108.939611,34.222595,火锅,32552,521
奈雪的茶(钟楼南大街店),陕西省西安市碑林区南大街13号,108.947362,34.257154,茶饮,7787,60
定家小酥肉(曲江芙蓉新天地店),陕西省西安市雁塔区慈恩路21号,108.973125,34.212025,小吃,1827,37
王品牛排(小寨兴善寺西街店),陕西省西安市雁塔区丈八东路7号,108.941882,34.223816,西餐,29285,239
麦当劳(李家村万达店),陕西省西安市碑林区和平路15号,108.959894,34.241055,快餐,12941,198
茶话弄(大唐不夜城店),陕西省西安市雁塔区小寨东路6号,108.960232,34.213666,茶饮,8000,60
牛排家(电子城电子正街店),陕西省西安市雁塔区含光路52号,108.914130,34.206485,西餐,22507,232
米旗(钟楼南大街店),陕西省西安市碑林区友谊路3号,108.948668,34.258386,烘焙,9835,61
粤珍轩(高新锦业路店),陕西省西安市高新区高新路20号,108.873928,34.191536,中餐,20029,383
碎怂烤肉(未央凤城五路店),陕西省西安市未央区文景路7号,108.938601,34.332757,烧烤,23117,275
奈雪的茶(南稍门中贸广场店),陕西省西安市碑林区和平路6号,108.943758,34.243168,茶饮,4715,20
巴奴毛肚火锅(省体育场长安路店),陕西省西安市碑林区粉巷26号,108.949367,34.239209,火锅,35355,383
卤校长老火锅(高新锦业路店),陕西省西安市高新区沣惠南路10号,108.874613,34.194249,火锅,29553,437
