名称,地址,经度,纬度,类别,日营业额
钟楼商圈门店1,陕西省西安市莲湖区未央路72号,108.957104,34.271591,便利店,45848
钟楼商圈门店2,陕西省西安市鄠邑区含光路17号,108.941117,34.248466,药店,7640
钟楼商圈门店3,陕西省西安市碑林区东大街102号,108.944788,34.272636,水果店,15946
钟楼商圈门店4,陕西省西安市碑林区太白南路82号,108.9328,34.263533,水果店,23798
钟楼商圈门店5,陕西省西安市灞桥区长安路48号,108.940544,34.267857,水果店,7838
钟楼商圈门店6,陕西省西安市新城区太白南路23号,108.935031,34.268112,理发店,36642
钟楼商圈门店7,陕西省西安市雁塔区东大街151号,108.961202,34.276966,奶茶店,39337
钟楼商圈门店8,陕西省西安市莲湖区太白南路149号,108.943616,34.26455,便利店,16756
钟楼商圈门店9,陕西省西安市临潼区南大街187号,108.949843,34.253725,餐厅,25760
钟楼商圈门店10,陕西省西安市雁塔区西大街88号,108.931021,34.272753,服装店,12208
钟楼商圈门店11,陕西省西安市高陵区未央路167号,108.932747,34.262863,药店,16510
钟楼商圈门店12,陕西省西安市长安区太华路34号,108.951461,34.244726,服装店,38670
钟楼商圈门店13,陕西省西安市临潼区含光路235号,108.94944,34.254906,餐厅,18859
钟楼商圈门店14,陕西省西安市高陵区太华路300号,108.954681,34.273713,水果店,39742
钟楼商圈门店15,陕西省西安市未央区东大街253号,108.935187,34.265158,便利店,4587
钟楼商圈门店16,陕西省西安市未央区太白南路217号,108.946442,34.256588,便利店,26716
钟楼商圈门店17,陕西省西安市高陵区太华路284号,108.912573,34.283563,药店,46083
钟楼商圈门店18,陕西省西安市高陵区太白南路137号,108.938679,34.246124,奶茶店,8810
钟楼商圈门店19,陕西省西安市碑林区北大街135号,108.940099,34.26665,餐厅,34771
钟楼商圈门店20,陕西省西安市新城区唐延路260号,108.962699,34.250449,服装店,11516
钟楼商圈门店21,陕西省西安市高陵区锦业路1号,108.936997,34.265226,奶茶店,33521
钟楼商圈门店22,陕西省西安市新城区未央路30号,108.969401,34.263808,服装店,38682
钟楼商圈门店23,陕西省西安市临潼区唐延路36号,108.946799,34.259615,餐厅,9914
钟楼商圈门店24,陕西省西安市未央区太华路271号,108.926384,34.240565,水果店,15380
钟楼商圈门店25,陕西省西安市莲湖区北大街160号,108.960159,34.253753,水果店,45519
大雁塔商圈门店1,陕西省西安市临潼区长安路127号,108.945988,34.233311,服装店,5696
大雁塔商圈门店2,陕西省西安市莲湖区西大街113号,108.955597,34.229334,药店,6152
大雁塔商圈门店3,陕西省西安市雁塔区锦业路17号,108.962906,34.214638,奶茶店,6143
大雁塔商圈门店4,陕西省西安市临潼区未央路277号,108.954343,34.217282,餐厅,48905
大雁塔商圈门店5,陕西省西安市临潼区未央路243号,108.978349,34.212871,水果店,13978
大雁塔商圈门店6,陕西省西安市灞桥区含光路211号,108.9786,34.226193,理发店,49280
大雁塔商圈门店7,陕西省西安市雁塔区科技路207号,108.980468,34.22286,奶茶店,8661
大雁塔商圈门店8,陕西省西安市临潼区雁塔路217号,108.964066,34.224496,餐厅,19754
大雁塔商圈门店9,陕西省西安市雁塔区友谊路282号,108.940223,34.22274,便利店,4815
大雁塔商圈门店10,陕西省西安市碑林区长安路122号,108.955367,34.207812,餐厅,28134
大雁塔商圈门店11,陕西省西安市长安区锦业路31号,108.955712,34.218625,餐厅,26336
大雁塔商圈门店12,陕西省西安市临潼区太华路217号,108.975939,34.218135,理发店,11644
大雁塔商圈门店13,陕西省西安市碑林区西大街278号,108.967101,34.224514,药店,22052
大雁塔商圈门店14,陕西省西安市高陵区锦业路272号,108.978883,34.222657,餐厅,5227
大雁塔商圈门店15,陕西省西安市未央区长安路35号,108.968756,34.217003,服装店,27961
