名称,地址,经度,纬度,类别,日营业额
小寨十字门店1,陕西省西安市雁塔区兴善寺西街63号,108.94146,34.222481,服装店,10644
小寨十字门店2,陕西省西安市雁塔区翠华路23号,108.941522,34.218508,水果店,3582
小寨十字门店3,陕西省西安市雁塔区翠华路155号,108.944588,34.223392,药店,38281
小寨十字门店4,陕西省西安市雁塔区翠华路108号,108.943717,34.227124,服装店,30939
小寨十字门店5,陕西省西安市雁塔区长安中路195号,108.936218,34.220094,餐厅,47253
小寨十字门店6,陕西省西安市雁塔区兴善寺东街196号,108.939325,34.224131,奶茶店,8198
小寨十字门店7,陕西省西安市雁塔区朱雀大街155号,108.943412,34.223745,生鲜超市,4347
小寨十字门店8,陕西省西安市雁塔区含光路21号,108.94141,34.219311,生鲜超市,42698
小寨十字门店9,陕西省西安市雁塔区育才路50号,108.936515,34.218956,便利店,4503
小寨十字门店10,陕西省西安市雁塔区小寨东路60号,108.938583,34.218616,便利店,26411
小寨十字门店11,陕西省西安市雁塔区朱雀大街42号,108.941068,34.227198,奶茶店,24783
小寨十字门店12,陕西省西安市雁塔区师大路166号,108.942744,34.225288,便利店,41420
小寨十字门店13,陕西省西安市雁塔区兴善寺东街42号,108.938934,34.220219,理发店,26367
小寨十字门店14,陕西省西安市雁塔区纬二街143号,108.940932,34.229782,服装店,46366
小寨十字门店15,陕西省西安市雁塔区长安中路59号,108.939114,34.227582,药店,22173
小寨十字门店16,陕西省西安市雁塔区育才路184号,108.940871,34.223646,奶茶店,15434
小寨十字门店17,陕西省西安市雁塔区师大路118号,108.939893,34.220505,餐厅,18859
小寨十字门店18,陕西省西安市雁塔区翠华路68号,108.945963,34.226814,水果店,39742
小寨十字门店19,陕西省西安市雁塔区小寨西路131号,108.939871,34.224247,理发店,7457
小寨十字门店20,陕西省西安市雁塔区小寨西路161号,108.942271,34.217043,餐厅,46096
小寨十字门店21,陕西省西安市雁塔区含光路153号,108.940801,34.223511,理发店,36176
小寨十字门店22,陕西省西安市雁塔区长安中路175号,108.941958,34.226808,便利店,46176
小寨十字门店23,陕西省西安市雁塔区师大路88号,108.946684,34.219687,便利店,20734
小寨十字门店24,陕西省西安市雁塔区纬二街185号,108.938218,34.224315,生鲜超市,34306
小寨十字门店25,陕西省西安市雁塔区小寨东路161号,108.942335,34.219439,生鲜超市,43374
小寨十字门店26,陕西省西安市雁塔区朱雀大街196号,108.939505,34.222904,餐厅,36848
小寨十字门店27,陕西省西安市雁塔区长安中路154号,108.95012,34.221046,奶茶店,33521
小寨十字门店28,陕西省西安市雁塔区兴善寺西街62号,108.950563,34.223843,药店,17285
小寨十字门店29,陕西省西安市雁塔区小寨东路188号,108.948546,34.217957,理发店,6035
小寨十字门店30,陕西省西安市雁塔区小寨西路33号,108.946582,34.22249,理发店,37531
小寨十字门店31,陕西省西安市雁塔区育才路109号,108.944335,34.226164,服装店,36843
小寨十字门店32,陕西省西安市雁塔区纬二街80号,108.94219,34.218412,水果店,45519
小寨十字门店33,陕西省西安市雁塔区翠华路116号,108.939631,34.220395,便利店,17746
小寨十字门店34,陕西省西安市雁塔区育才路142号,108.942539,34.225691,服装店,40064
小寨十字门店35,陕西省西安市雁塔区师大路16号,108.942268,34.224131,服装店,5917
赛格周边门店1,陕西省西安市雁塔区小寨东路132号,108.949157,34.217671,服装店,19750
赛格周边门店2,陕西省西安市雁塔区小寨西路186号,108.941731,34.219181,理发店,17425
赛格周边门店3,陕西省西安市雁塔区兴善寺东街25号,108.944469,34.215682,便利店,44687
赛格周边门店4,陕西省西安市雁塔区雁塔西路187号,108.939427,34.222322,药店,45629
赛格周边门店5,陕西省西安市雁塔区长安中路104号,108.939918,34.217447,奶茶店,8661
赛格周边门店6,陕西省西安市雁塔区雁塔西路36号,108.943021,34.222949,水果店,13525
赛格周边门店7,陕西省西安市雁塔区小寨东路114号,108.942493,34.223238,便利店,4815
赛格周边门店8,陕西省西安市雁塔区长安中路24号,108.940302,34.217944,服装店,12399
赛格周边门店9,陕西省西安市雁塔区含光路16号,108.939425,34.222907,餐厅,26336
赛格周边门店10,陕西省西安市雁塔区雁塔西路74号,108.946731,34.22104,水果店,47151
