名称,地址,经度,纬度,类别,日营业额
老百姓大药房(钟楼店),陕西省西安市碑林区东大街589号,108.9475,34.2612,医药-药店,33375
怡康医药(钟楼旗舰店),陕西省西安市碑林区南大街8号,108.949,34.262,医药-药店,52673
西安第一药店,陕西省西安市碑林区西大街238号,108.946,34.26,医药-药店,25481
同和堂大药房(北大街店),陕西省西安市莲湖区北大街364号,108.9485,34.2645,医药-药店,22026
众信医药(东大街店),陕西省西安市碑林区东大街387号,108.951,34.2605,医药-药店,38883
广济大药房(钟楼西),陕西省西安市碑林区西大街456号,108.944,34.2595,医药-药店,42894
百草堂药店(南稍门店),陕西省西安市碑林区南稍门十字西北角,108.945,34.2505,医药-药店,22738
泰生医药(朱雀门店),陕西省西安市碑林区朱雀大街北段112号,108.938,34.258,医药-药店,54129
老百姓大药房(五路口店),陕西省西安市新城区五路口十字东南角,108.962,34.268,医药-药店,47149
仁和堂药房(和平门店),陕西省西安市碑林区和平路南段78号,108.952,34.248,医药-药店,39844
康全医药(南二环店),陕西省西安市碑林区南二环西段66号,108.94,34.236,医药-药店,37494
德仁堂大药房(玉祥门店),陕西省西安市莲湖区大庆路120号,108.922,34.268,医药-药店,46569
健康人大药房(长乐西路店),陕西省西安市新城区长乐西路256号,108.975,34.27,医药-药店,29350
怡心堂药房(文艺路店),陕西省西安市碑林区文艺北路203号,108.955,34.239,医药-药店,20257
百信药房(西关正街),陕西省西安市莲湖区西关正街189号,108.92,34.255,医药-药店,35204
众泰药房(电子城店),陕西省西安市雁塔区电子正街88号,108.92,34.22,医药-药店,19462
汇丰大药房(东二环),陕西省西安市新城区东二环金花北路,108.99,34.26,医药-药店,46169
