名称,地址,经度,纬度,类别,日营业额
钟楼金店旗舰店,陕西省西安市碑林区东大街588号,108.949100,34.261600,珠宝首饰,185230
开元商城美妆专柜,陕西省西安市碑林区东大街589号钟楼开元商城1层,108.947880,34.260730,美妆护肤,128900
钟楼饭店中餐厅,陕西省西安市碑林区南大街110号,108.947400,34.260100,餐饮-中餐,89760
德发长饺子馆,陕西省西安市碑林区西大街3号钟鼓楼广场,108.946500,34.261350,餐饮-老字号,96200
同盛祥泡馍馆,陕西省西安市碑林区西大街5号钟鼓楼广场内,108.946100,34.261600,餐饮-老字号,84750
钟楼邮局营业厅,陕西省西安市碑林区北大街1号钟楼邮政大楼1层,108.948750,34.262200,邮政服务,12500
世纪金花钟楼店,陕西省西安市碑林区西大街1号,108.946900,34.261000,百货商场,256600
钟楼书店,陕西省西安市碑林区东大街377号,108.949800,34.261200,图书文具,38200
钟楼地铁站D口商业街奶茶店,陕西省西安市碑林区钟楼地铁站D出口地下商业街A-12,108.948300,34.260200,茶饮甜品,15800
回民街入口特产店,陕西省西安市碑林区鼓楼北院门1号,108.946300,34.262100,旅游特产,47900
钟楼小区南门便利店,陕西省西安市碑林区钟楼小区西一路8号,108.947200,34.260500,便利零售,8930
骡马市步行街服装店A,陕西省西安市碑林区骡马市步行街28号,108.950500,34.259900,服装零售,32400
骡马市步行街服装店B,陕西省西安市碑林区骡马市步行街55号,108.951200,34.259600,服装零售,28700
骡马市手机卖场,陕西省西安市碑林区骡马市步行街12号,108.950800,34.259700,数码电子,45600
竹笆市眼镜店,陕西省西安市碑林区竹笆市街45号,108.946000,34.259800,眼镜光学,11200
西木头市小吃店,陕西省西安市碑林区南大街西木头市15号,108.948500,34.259200,餐饮-小吃,14600
粉巷咖啡厅,陕西省西安市碑林区粉巷26号,108.949500,34.258800,茶饮甜品,23100
粉巷酒吧,陕西省西安市碑林区粉巷18号,108.949200,34.258600,娱乐休闲,35200
南大街中国银行,陕西省西安市碑林区南大街92号,108.947800,34.259400,金融服务,0
西大街工商银行,陕西省西安市碑林区西大街115号,108.945800,34.261500,金融服务,0
南院门药店,陕西省西安市碑林区南院门28号,108.945500,34.260500,医疗药店,19600
北大街口腔诊所,陕西省西安市碑林区北大街118号,108.949000,34.263500,医疗服务,23400
西华门电信营业厅,陕西省西安市碑林区西华门大街5号,108.951700,34.262500,通信服务,9800
东木头市火锅店,陕西省西安市碑林区东木头市88号,108.950100,34.259300,餐饮-火锅,54300
安居巷精品民宿,陕西省西安市碑林区安居巷12号,108.947900,34.258300,酒店住宿,19800
南新街连锁酒店,陕西省西安市碑林区南新街30号,108.952000,34.261800,酒店住宿,35600
端履门药店,陕西省西安市碑林区东大街端履门路口,108.950600,34.261400,医疗药店,21300
钟楼盘道东侧报刊亭,陕西省西安市碑林区东大街钟楼盘道东南角,108.949400,34.260400,便利零售,850
北院门回民街羊肉泡馍,陕西省西安市碑林区北院门125号,108.946400,34.262400,餐饮-老字号,67800
鼓楼东侧工艺品店,陕西省西安市碑林区鼓楼西大街北院门西侧,108.945900,34.261800,旅游特产,22300
莲湖路快捷酒店,陕西省西安市莲湖区莲湖路18号,108.948600,34.264100,酒店住宿,30100
社会路农贸市场,陕西省西安市碑林区社会路12号,108.947100,34.262800,农贸市场,0
大车家巷面馆,陕西省西安市碑林区大车家巷23号,108.949000,34.258200,餐饮-面食,31200
五星街教堂礼品店,陕西省西安市碑林区五星街17号,108.944600,34.257900,旅游特产,5400
南广济街茶叶店,陕西省西安市碑林区南广济街68号,108.944900,34.259600,茶饮零售,16200
西大街百盛购物中心,陕西省西安市碑林区西大街77号,108.945200,34.260800,百货商场,210500
钟楼饭店西侧旅行社,陕西省西安市碑林区南大街108号附1,108.947300,34.260050,旅游服务,0
北大街新华书店,陕西省西安市碑林区北大街147号,108.949200,34.263800,图书文具,28900
二府街文具店,陕西省西安市碑林区二府街3号,108.947800,34.263200,图书文具,4700
大皮院清真小吃,陕西省西安市莲湖区大皮院42号,108.946200,34.262700,餐饮-小吃,12500
西羊市特产店,陕西省西安市莲湖区西羊市78号,108.946100,34.263000,旅游特产,34400
庙后街社区超市,陕西省西安市莲湖区庙后街15号,108.945400,34.263400,便利零售,14500
洒金桥美食街肉夹馍,陕西省西安市莲湖区洒金桥12号,108.943800,34.264200,餐饮-小吃,28600
桥梓口糕点铺,陕西省西安市莲湖区桥梓口32号,108.942600,34.262800,食品零售,11200
甜水井街洗车店,陕西省西安市碑林区甜水井街19号,108.945000,34.257600,汽车服务,6300
西大街快捷酒店,陕西省西安市碑林区西大街389号,108.942500,34.261200,酒店住宿,25600
东大街老孙家泡馍,陕西省西安市碑林区东大街364号,108.950200,34.261800,餐饮-老字号,72100
钟楼邮局东侧移动营业厅,陕西省西安市碑林区北大街2号,108.949000,34.262400,通信服务,11200
莲湖公园南门便利店,陕西省西安市莲湖区莲湖路58号,108.947200,34.264800,便利零售,5200
