name,address,lng,lat,category,revenue,source
大唐不夜城店,雁塔区慈恩路66号大唐不夜城步行街,108.961000,34.215000,便利店,45000,owner
大雁塔北广场店,雁塔区大雁塔北广场B1层,108.958500,34.218500,便利店,52000,owner
慈恩西路店,雁塔区慈恩西路169号,108.959000,34.213000,便利店,38000,owner
雁塔南路店,雁塔区雁塔南路318号,108.963500,34.211000,便利店,41000,owner
芙蓉西路店,雁塔区芙蓉西路88号大唐芙蓉园西门,108.965000,34.216500,便利店,35000,owner
翠华路店,雁塔区翠华路107号,108.956000,34.210000,便利店,33000,owner
小寨东路店,雁塔区小寨东路126号,108.953500,34.219000,便利店,47000,owner
曲江池北路店,雁塔区曲江池北路55号,108.967000,34.209500,便利店,31000,owner
每一天便利店(大雁塔店),雁塔区大雁塔南广场东侧,108.960500,34.217000,便利店,42000,competitor
唐久便利(慈恩路店),雁塔区慈恩路55号,108.957500,34.214000,便利店,36000,competitor
罗森(曲江店),雁塔区曲江路299号,108.962000,34.208000,便利店,39000,competitor
7-Eleven(小寨店),雁塔区长安中路小寨十字,108.952000,34.216000,便利店,55000,competitor
便利蜂(雁塔西路店),雁塔区雁塔西路88号,108.955000,34.212500,便利店,44000,competitor
美宜佳(芙蓉南路店),雁塔区芙蓉南路33号,108.964000,34.214500,便利店,37000,competitor
全家便利店(曲江池店),雁塔区曲江池东路18号,108.968500,34.212000,便利店,48000,competitor
